playlist,track_id,year
Replay 2019,2897,2019
Replay 2019,3433,2019
Replay 2019,2931,2019
Replay 2019,3447,2019
Replay 2019,2911,2019
Replay 2019,1406,2019
Replay 2019,1398,2019
Replay 2019,2901,2019
Replay 2019,1400,2019
Replay 2019,3783,2019
Replay 2019,2887,2019
Replay 2019,3777,2019
Replay 2019,3781,2019
Replay 2019,3789,2019
Replay 2019,1388,2019
Replay 2019,1394,2019
Replay 2019,3779,2019
Replay 2019,3617,2019
Replay 2019,1392,2019
Replay 2019,3787,2019
Replay 2019,3785,2019
Replay 2019,3719,2019
Replay 2019,2236,2019
Replay 2019,1396,2019
Replay 2019,3791,2019
Replay 2019,2281,2019
Replay 2019,2172,2019
Replay 2019,3449,2019
Replay 2019,2168,2019
Replay 2019,2240,2019
Replay 2019,2238,2019
Replay 2019,1740,2019
Replay 2019,1736,2019
Replay 2019,2170,2019
Replay 2019,1710,2019
Replay 2019,1564,2019
Replay 2019,1542,2019
Replay 2019,2333,2019
Replay 2019,2327,2019
Replay 2019,1538,2019
Replay 2019,2899,2019
Replay 2019,2301,2019
Replay 2019,4871,2019
Replay 2019,2120,2019
Replay 2019,1350,2019
Replay 2019,2094,2019
Replay 2019,2903,2019
Replay 2019,3577,2019
Replay 2019,1376,2019
Replay 2019,2210,2019
Replay 2019,3215,2019
Replay 2019,3205,2019
Replay 2019,5073,2019
Replay 2019,3585,2019
Replay 2019,3901,2019
Replay 2019,4991,2019
Replay 2019,1352,2019
Replay 2019,1608,2019
Replay 2019,3243,2019
Replay 2019,2096,2019
Replay 2019,2311,2019
Replay 2019,1570,2019
Replay 2019,1338,2019
Replay 2019,1382,2019
Replay 2019,2865,2019
Replay 2019,2867,2019
Replay 2019,1720,2019
Replay 2019,2913,2019
Replay 2019,2152,2019
Replay 2019,1498,2019
Replay 2019,5011,2019
Replay 2019,2969,2019
Replay 2019,1512,2019
Replay 2019,1450,2019
Replay 2019,3725,2019
Replay 2019,3161,2019
Replay 2019,1508,2019
Replay 2019,1344,2019
Replay 2019,2224,2019
Replay 2019,1496,2019
Replay 2019,1580,2019
Replay 2019,2915,2019
Replay 2019,1554,2019
Replay 2019,3409,2019
Replay 2019,3361,2019
Replay 2019,4037,2019
Replay 2019,1408,2019
Replay 2019,1372,2019
Replay 2019,2335,2019
Replay 2019,1480,2019
Replay 2019,1866,2019
Replay 2019,2993,2019
Replay 2020,2981,2020
Replay 2020,2283,2020
Replay 2020,1616,2020
Replay 2020,1620,2020
Replay 2020,5207,2020
Replay 2020,1486,2020
Replay 2020,2955,2020
Replay 2020,2214,2020
Replay 2020,1492,2020
Replay 2020,2156,2020
Replay 2020,2905,2020
Replay 2020,1850,2020
Replay 2020,1442,2020
Replay 2020,1466,2020
Replay 2020,2927,2020
Replay 2020,2957,2020
Replay 2020,3989,2020
Replay 2020,2861,2020
Replay 2020,3977,2020
Replay 2020,1434,2020
Replay 2020,3997,2020
Replay 2020,1484,2020
Replay 2020,1452,2020
Replay 2020,2293,2020
Replay 2020,1454,2020
Replay 2020,1520,2020
Replay 2020,2949,2020
Replay 2020,4735,2020
Replay 2020,4873,2020
Replay 2020,5065,2020
Replay 2020,3979,2020
Replay 2020,1444,2020
Replay 2020,2124,2020
Replay 2020,1588,2020
Replay 2020,1482,2020
Replay 2020,1500,2020
Replay 2020,2230,2020
Replay 2020,2303,2020
Replay 2020,2919,2020
Replay 2020,2909,2020
Replay 2020,3431,2020
Replay 2020,2859,2020
Replay 2020,3161,2020
Replay 2020,1464,2020
Replay 2020,1496,2020
Replay 2020,2271,2020
Replay 2020,2869,2020
Replay 2020,1822,2020
Replay 2020,2943,2020
Replay 2020,3401,2020
Replay 2020,3993,2020
Replay 2020,5077,2020
Replay 2020,2285,2020
Replay 2020,5123,2020
Replay 2020,4037,2020
Replay 2020,1440,2020
Replay 2020,3445,2020
Replay 2020,5127,2020
Replay 2020,3439,2020
Replay 2020,3091,2020
Replay 2020,3441,2020
Replay 2020,1548,2020
Replay 2020,4871,2020
Replay 2020,1456,2020
Replay 2020,2315,2020
Replay 2020,1544,2020
Replay 2020,1366,2020
Replay 2020,1374,2020
