,apple_id,spotify_id,artist,title,popularity
238,10427,5IdQEHgtmj9th3OkfQKhf8,Chance the Rapper,"Blessings (feat. Ty Dolla $ign, Anderson .Paak, BJ The Chicago Kid, Raury & Jamila Woods)",50
239,4875,20YOJ81BuTLbLcBCYnFmQ1,Alina Baraz,Fantasy,55
240,10413,5xjTqz4aYQeBnFhwMPmfx9,Mila J,Kickin’ Back,66
241,4059,17jeLyQcEUmKv3MXeEo79k,Lil Duval,"Smile (Living My Best Life) (feat. Snoop Dogg, Ball Greezy & Midnight Star)",48
242,10479,7p4vHnYXkxlzvfePJVpcTr,Childish Gambino,Feels Like Summer,72
243,1450,1UjyF6okUHhnVxaLV8ojsA,Anderson .Paak,Am I Wrong (feat. ScHoolboy Q),54
244,10439,586T4NFpg34rcFG3q7y2I3,Emeli Sandé,My Kind Of Love,37
245,10435,56RfNBJGUgL1ZFCB1KEJrQ,Janelle Monáe,Django Jane,43
246,10429,16Of7eeW44kt0a1M0nitHM,Cobra Starship,You Make Me Feel... (feat. Sabi),73
247,10463,6K4Co1NQyOnoFEJMkZHkln,Rihanna,James Joint,63
248,10415,39xVzbZDVYROIkoI0wJU7k,Ravyn Lenae,Closer (Ode 2 U),43
249,10449,0MIJFuEJpmgSjNjkbq29TQ,Gracie Abrams,Blowing Smoke,74
250,10403,2qT1uLXPVPzGgFOx4jtEuo,Ariana Grande,no tears left to cry,78
251,10465,2fvdQ1Uq04qE4RLN5zKBXS,Tom Misch,Disco Yes,60
252,10411,3EaJDYHA0KnX88JvDhL9oa,Steve Lacy,Dark Red,86
253,3163,4S9igu2YyLNTUdP6UTlGb0,Chizzy Stephens,Catching Villains,54
254,1730,4lFfMRH0YH4pW5gczTDbNC,Queen Naija,Medicine,67
255,1822,5dzV75f9qVXVvdXLTqIG4L,Janelle Monáe,Primetime (feat. Miguel),48
256,3157,5Yfq9uugLFchtFymQQWxgt,Janelle Monáe,I Got the Juice (feat. Pharrell Williams),39
257,10481,7nJZ9LplJ3ZAyhQyJCJk0K,Janelle Monáe,Dirty Computer (feat. Brian Wilson),39
258,10421,1ljzHUgt2SU2ADkhfa9eBC,Janelle Monáe,Tightrope (feat. Big Boi) - Big Boi Vocal Edit,51
259,10423,0NG5gJzPHjYeQmqcmqfopN,Chris Brown,Don't Judge Me,66
260,10437,1Z2MfAx1nJ09NzGjodnvRW,Janelle Monáe,Screwed (feat. Zoë Kravitz),43
261,10455,430qNtapCS3Ue1yoSql1oV,"Tyler, The Creator",I Ain't Got Time!,62
262,10431,5OpiyfqaQLdtwHd3SfembH,Janelle Monáe,Pynk (feat. Grimes),48
263,10425,5S5rw0WLVCAux5B5bWCehK,Rascal Flatts,I Like The Sound Of That,68
264,10445,6zEOfBb85G0Vaau5skdAUG,Maroon 5,Whiskey (feat. A$AP Rocky),40
265,10453,3wwoB2eYeGnuOSuIYqXEdl,Chevelle,Closure,59
266,10417,5Fw17rh1qEC6YoT32BijNI,Janelle Monáe,Take a Byte,37
267,10447,59nOXPmaKlBfGMDeOVGrIK,Future,WAIT FOR U (feat. Drake & Tems),84
268,4871,00B7TZ0Xawar6NZ00JFomN,Cardi B,Best Life (feat. Chance The Rapper),50
269,10459,2x0WlnmfG39ZuDmstl9xfX,Taylor Swift,End Game,74
270,10419,06EAtSDu3KSoi4fbA3ZjoB,Janelle Monáe,"Crazy, Classic, Life",40
271,4165,1E2qfOtDbT1NPaGQnI3L12,Andra Day,What the World Needs Now Is Love,42
272,10443,3hhbDnFUb2bicI2df6VurK,Leon Bridges,River,77
273,3585,2EcsgXlxz99UMDSPg5T8RF,Labrinth,Beneath Your Beautiful (feat. Emeli Sandé),67
274,2271,3HW030T8eqPs8wpsgZqCGM,Janelle Monáe,Q.U.E.E.N. (feat. Erykah Badu),46
275,1350,7p2ewixAShLpjDZrnzZK7c,Cardi B,Get Up 10,55
276,10469,1ZozJfi8u9cO2Ob8KwiwNT,Creed,Higher,80
277,10407,57nOpVSc3j9o03Cr928ZM4,XXXTENTACION,what are you so afraid of,65
278,1864,6Hn9Uc1mMNfqChXU3txNke,Ne-Yo,Mad,73
279,2120,74cVJfmK18rhWnscIpGXjt,Cardi B,Thru Your Phone,72
280,10405,7uPmQttafLiJyju14JREY4,David Bowie,Young Americans - 2016 Remaster,61
281,10433,57flcTcVRtzuJjVZn18dGu,Calmly,"Cold Nights, Warm Dreams",71
282,10441,7c3SbTuufigBWURcICnAWy,Anderson .Paak,Tints (feat. Kendrick Lamar),57
283,3133,1Xsxp1SEOxuMzjrFZhtw8u,Emeli Sandé,Next To Me,53
284,10457,1bhUWB0zJMIKr9yVPrkEuI,Ed Sheeran,Perfect Duet (Ed Sheeran & Beyoncé),69
285,3441,4lJNen4SMTIJMahALc3DcB,Sia,"Thunderclouds (feat. Sia, Diplo, and Labrinth)",69
286,3439,100eDEmpWV5YGVCqHI0leU,Sia,"Audio (feat. Sia, Diplo, and Labrinth)",62
287,3445,6Dma0t0hOe6Bd6u5YRKF3n,Sia,"No New Friends (feat. Sia, Diplo, and Labrinth)",56
288,3437,4xigPf2sigSPmuFH3qCelB,Sia,"Genius (feat. Sia, Diplo, and Labrinth)",75
289,3435,6k71NlTnn41Vk7RJX7CSbY,Sia,"Angel in Your Eyes (feat. Sia, Diplo, and Labrinth)",47
290,3451,4TlbZgqxhJ6uN3tpVyjw90,Sia,"Genius (feat. Sia, Diplo, and Labrinth) - Lil Wayne Remix",53
291,3443,0HCDvbGNsigLpkzCDwpKVr,Sia,"Mountains (feat. Sia, Diplo, and Labrinth)",48
292,2897,1TEL6MlSSVLSdhOSddidlJ,Ariana Grande,needy,71
293,3433,2mMQFumTaHcwMZsiNE57Um,Sia,"Welcome to the Wonderful World of (feat. Sia, Diplo, and Labrinth)",42
294,2931,7pKfPomDEeI4TPT6EOYjn9,John Lennon,Imagine - Remastered 2010,77
